VideoID,Username,Comment,Timestamp,Date,Clean_Comment
_5AKKX1MYR8,@nurjannaharris5773,"Nyadar gk klo huruf depanya Lagu Selalu di nadimu di gabung? 

Kalla nanti.. Badai kan datang
Angin akan buat kau goyah
Maafkan... Hidup emang.. 
Ingin kau lebih kuat... 


Andaikan saat itu datang... 
Kami tak ada menemani.. 
Aku ingin.... Kau mendengar... 
Nyanyian ku disini.. 

Sedikt.. Demi sedikit.. 
Engkau.. Akan berteman pahit.. 
Luapkan masaja bila harus menangis
Anakku.. Ingatlah semua.. 
Lelah.. Tak akan tersiaa... 
Usah kau taku pada keras dunia.. 

Akhirnya.. Takkan ada akhir
Doaku agar kau selalu.. 
Arungii.. Hidup berbalut senyuman di.. Hati.. 

Doaku.. Agar kau selalu.. 
Ingat bahagia.. Meski kadang... Hidup tak baik saja.. 

Nyanyi yang ini..  Bukan sekedar Nada.. 
Aku ingin kau mendengarnya.. 
Dengan hatimu bukan telinga... 
Ingat lah ini.. Bukan sekedar kata.. 

Maksudnya kelak.. Akan menjadi makna.. 
Ungkapan.. Cintaku dari hati....",2025-05-22T05:30:16Z,2025-05-22T05:30:16Z,nyadar gk klo huruf depanya lagu selalu di nadimu di gabung kalla nanti badai kan datang angin akan buat kau goyah maafkan hidup emang ingin kau lebih kuat andaikan saat itu datang kami tak ada menemani aku ingin kau mendengar nyanyian ku disini sedikt demi sedikit engkau akan berteman pahit luapkan masaja bila harus menangis anakku ingatlah semua lelah tak akan tersiaa usah kau taku pada keras dunia akhirnya takkan ada akhir doaku agar kau selalu arungii hidup berbalut senyuman di hati doaku agar kau selalu ingat bahagia meski kadang hidup tak baik saja nyanyi yang ini bukan sekedar nada aku ingin kau mendengarnya dengan hatimu bukan telinga ingat lah ini bukan sekedar kata maksudnya kelak akan menjadi makna ungkapan cintaku dari hati
_5AKKX1MYR8,@AaBb-ji2lt,Oh 😮,2025-05-22T18:12:57Z,2025-05-22T18:12:57Z,oh
_5AKKX1MYR8,@nindityanugroho7170,"Kala nanti… badai kan datang…. 
Angin akan buat kau goyah
Maafkan…. Hidup memang…..
Ingin kau lebih kuat….


Andai kan saat itu datang….. 
kami tak ada menemani…
Aku ingin engkau mendengar….
Nyanyianku di sini…..
Sedikit demi sedikit…
Engkau akan berteman pahit….
Luapkan lah saja bila harus menangis
Anakku…. Ingatlah semua lelah tak akan tersia…
Usah kau takut pada keras dunia…

Akhirnya tak kan ada akhir…
Doaku agar kau selalu…
Arungi hidup berbalut…
Senyuman di hati…
Doaku (doaku)
Agar kau selalu
(Kau selalu)
Ingat bahagia (bahagia
Meski kadang hidup tak baik saja….
Nyanyian ini bukan sekedar nada
Aku ingin kau mendengarnya
Dengan hatimu bukan telinga….
Ingat lah ini bukan sekedar kata……
Maksudnya kelak…
( maksud nya kelak)
Akan menjadi makna….
( menjadi makna)
Ungkapan cintaku dari hati….
(La la la la)
Ungkapan cintaku dari hati……..

Lagunya mau nangis dan mengandung bawang",2025-05-24T14:17:10Z,2025-05-24T14:17:10Z,kala nanti badai kan datang angin akan buat kau goyah maafkan hidup memang ingin kau lebih kuat andai kan saat itu datang kami tak ada menemani aku ingin engkau mendengar nyanyianku di sini sedikit demi sedikit engkau akan berteman pahit luapkan lah saja bila harus menangis anakku ingatlah semua lelah tak akan tersia usah kau takut pada keras dunia akhirnya tak kan ada akhir doaku agar kau selalu arungi hidup berbalut senyuman di hati doaku doaku agar kau selalu kau selalu ingat bahagia bahagia meski kadang hidup tak baik saja nyanyian ini bukan sekedar nada aku ingin kau mendengarnya dengan hatimu bukan telinga ingat lah ini bukan sekedar kata maksudnya kelak maksud nya kelak akan menjadi makna menjadi makna ungkapan cintaku dari hati la la la la ungkapan cintaku dari hati lagunya mau nangis dan mengandung bawang
_5AKKX1MYR8,@GibranBagaskara-n2c,Terbaik,2025-05-21T23:29:15Z,2025-05-21T23:29:15Z,terbaik
_5AKKX1MYR8,@albertgozali-cn7sy,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2025-05-21T12:43:55Z,2025-05-21T12:43:55Z,
_5AKKX1MYR8,@khaliskurniadi6214,SINGING THIS😭❤️,2025-05-21T10:08:57Z,2025-05-21T10:08:57Z,singing this
_5AKKX1MYR8,@pusatedukasireviewchannel9902,Keren banget,2025-05-21T08:31:08Z,2025-05-21T08:31:08Z,keren banget
_5AKKX1MYR8,@firah4945,Keren 10 juta like,2025-05-20T21:04:04Z,2025-05-20T21:04:04Z,keren 10 juta like
_5AKKX1MYR8,@DiraFatin-g5o,Omaaaa dong udh nonton jumbo nihhh 2 kaliii😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,2025-05-20T10:05:50Z,2025-05-20T10:05:50Z,omaaaa dong udh nonton jumbo nihhh 2 kaliii
_5AKKX1MYR8,@afniarifa2006,2:22 2:22 2:22 2:22 2:22 2:22 2:22,2025-05-20T08:13:21Z,2025-05-20T08:13:21Z,222 222 222 222 222 222 222
_5AKKX1MYR8,@royqi8052,❤,2025-05-20T07:55:02Z,2025-05-20T07:55:02Z,
_5AKKX1MYR8,@erwindwiriyadi4247,Kasian 😢dari kecil dibully gendut gendut😢😢😢😢😢😢😢gapapa ya jumbo suatu saat nanti kamu ditak dibully lagi jumbo😊😊😊😊😊😊😊,2025-05-20T00:29:25Z,2025-05-20T00:29:25Z,kasian dari kecil dibully gendut gendutgapapa ya jumbo suatu saat nanti kamu ditak dibully lagi jumbo
_5AKKX1MYR8,@AaBb-ji2lt,Iy,2025-05-22T18:13:13Z,2025-05-22T18:13:13Z,iy
_5AKKX1MYR8,@alviananjasmara5441,😢,2025-05-19T20:20:36Z,2025-05-19T20:20:36Z,
_5AKKX1MYR8,@AishwaZetala,1:31 telat,2025-05-19T14:56:43Z,2025-05-19T14:56:43Z,131 telat
_5AKKX1MYR8,@godonkpari,Pinter nih dibuat fales biar ga kena hak cipta,2025-05-19T13:08:55Z,2025-05-19T13:08:55Z,pinter nih dibuat fales biar ga kena hak cipta
_5AKKX1MYR8,@angeltod-id,Merinding gua njir what a voice boril 😢,2025-05-19T12:31:28Z,2025-05-19T12:31:28Z,merinding gua njir what a voice boril
_5AKKX1MYR8,@DiraFatin-g5o,Versi Oma dong,2025-05-19T12:12:05Z,2025-05-19T12:12:05Z,versi oma dong
_5AKKX1MYR8,@Trisandiaz,request klo 10 juta yang nyanyi abah pican,2025-05-18T13:43:59Z,2025-05-18T13:43:59Z,request klo 10 juta yang nyanyi abah pican
_5AKKX1MYR8,@nanastory20,Pingin banget ada jumbo 2,2025-05-18T10:30:29Z,2025-05-18T10:30:29Z,pingin banget ada jumbo 2
_5AKKX1MYR8,@RiriJeChannel,Alleia adem banget pasti dengerin bapaknya nyanyi ❤,2025-05-18T09:48:59Z,2025-05-18T09:48:59Z,alleia adem banget pasti dengerin bapaknya nyanyi
